gender,age,address,famsize,Pstatus,M_edu,F_edu,M_job,F_job,relationship_breakdown,smoker,avarage_tution_fee_cost,time_spent_with_friends,ssc_result,hsc_result
M,22,U,LE3,T ,2,4,at_home ,teacher ,No ,No ,850000,1,4.57,4.18
M,22,R,GT3,T ,3,2,services ,health ,No ,Yes ,700000,2,4.45,4.11
F,21,U,GT3,T ,4,3,at_home ,services ,Yes ,Yes ,550000,2,3.95,4.07
F,23,R,GT3,T ,4,2,at_home ,services ,Yes ,Yes ,400000,5,4.08,4.88
F,20,U,LE3,T ,4,4,other ,teacher ,No ,Yes ,200000,2,4.26,4.37
F,20,U,GT3,T ,2,2,health ,other ,Yes ,No ,550000,1,4.83,4.43
F,20,R,GT3,T ,2,4,services ,teacher ,Yes ,Yes ,850000,1,4.94,4.71
M,20,U,GT3,T ,4,3,teacher ,services ,No ,Yes ,850000,2,4.4,4.09
F,23,U,GT3,T ,3,2,other ,other ,Yes ,No ,450000,1,4.49,4.32
F,24,U,LE3,T ,2,2,teacher ,services ,No ,No ,250000,1,4.27,4.52
M,22,R,LE3,T ,3,2,at_home ,services ,Yes ,Yes ,300000,1,4.74,4.3
M,23,R,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,50000,1,4.06,4.03
M,20,R,GT3,T ,4,2,at_home ,teacher ,No ,No ,400000,2,4.23,4.55
M,20,R,GT3,T ,2,2,health ,other ,No ,No ,850000,1,4.32,4.4
F,24,U,GT3,T ,4,3,services ,teacher ,Yes ,Yes ,850000,3,4.55,4.31
M,21,U,GT3,T ,2,3,at_home ,other ,Yes ,No ,100000,1,4.95,4.64
F,20,R,GT3,T ,4,4,health ,teacher ,Yes ,Yes ,450000,2,4.41,4.65
F,24,R,GT3,T ,3,4,at_home ,teacher ,Yes ,Yes ,800000,4,4.65,4.31
F,22,R,GT3,T ,2,2,services ,other ,No ,No ,550000,1,4.11,4.81
M,24,U,LE3,T ,4,3,services ,teacher ,Yes ,Yes ,500000,3,3.93,4.37
F,24,U,LE3,T ,4,3,at_home ,other ,Yes ,No ,100000,2,3.94,4.58
M,20,U,LE3,T ,3,3,services ,other ,No ,Yes ,400000,2,4.12,4.29
F,21,R,LE3,T ,2,2,services ,services ,No ,No ,400000,2,4.58,4.55
F,21,U,LE3,T ,2,3,other ,teacher ,No ,No ,600000,1,3.93,4.67
M,22,R,GT3,T ,2,2,health ,health ,Yes ,Yes ,50000,1,4.59,4.89
M,24,R,GT3,T ,3,4,health ,other ,Yes ,Yes ,600000,1,4.83,4.52
M,21,U,GT3,T ,4,3,at_home ,teacher ,Yes ,Yes ,600000,3,4.13,4.75
M,21,U,GT3,T ,2,4,teacher ,services ,Yes ,Yes ,250000,3,4.62,4.73
F,21,R,LE3,T ,4,4,at_home ,at_home ,Yes ,Yes ,700000,2,4.45,4.78
M,21,U,GT3,T ,2,3,at_home ,health ,Yes ,Yes ,600000,2,4.28,4.87
M,23,R,LE3,T ,2,2,at_home ,teacher ,Yes ,No ,600000,2,4.73,4.32
F,24,U,LE3,T ,4,2,at_home ,services ,Yes ,No ,850000,1,4.86,4.48
F,20,R,GT3,T ,4,4,other ,health ,No ,Yes ,50000,1,4.41,4.72
F,21,R,LE3,T ,3,2,other ,other ,No ,Yes ,450000,1,4.29,4.06
F,24,R,GT3,T ,4,2,at_home ,health ,No ,Yes ,450000,1,4.76,4.18
M,20,R,GT3,T ,2,4,teacher ,teacher ,Yes ,Yes ,850000,2,4.55,3.97
M,21,R,GT3,T ,4,4,at_home ,other ,No ,Yes ,50000,1,4.28,4.9
F,23,U,GT3,T ,2,2,at_home ,health ,No ,Yes ,500000,1,4.51,4.83
F,20,R,GT3,T ,4,3,at_home ,teacher ,No ,No ,50000,1,4,4.12
F,22,R,GT3,T ,2,2,services ,health ,No ,Yes ,450000,1,4.62,4.43
F,21,R,LE3,T ,2,2,at_home ,teacher ,Yes ,No ,550000,1,4.49,4
F,23,R,GT3,T ,2,4,at_home ,services ,Yes ,No ,250000,3,4.38,4.47
F,21,U,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,850000,1,4.59,4.64
M,22,U,GT3,T ,3,4,at_home ,teacher ,Yes ,Yes ,850000,2,4.23,3.98
F,23,R,GT3,T ,3,2,teacher ,services ,No ,Yes ,600000,2,4.58,3.99
F,20,R,GT3,T ,2,4,at_home ,teacher ,No ,Yes ,700000,1,4.3,4.49
F,22,R,LE3,T ,3,2,at_home ,other ,No ,No ,250000,1,4.93,4.2
F,23,R,GT3,T ,4,2,at_home ,teacher ,No ,Yes ,200000,2,4.24,4.6
F,23,R,GT3,T ,2,4,at_home ,teacher ,Yes ,Yes ,700000,1,4.38,4.65
M,23,R,LE3,T ,3,4,at_home ,services ,Yes ,Yes ,500000,1,4.2,4.88
F,20,R,GT3,T ,3,2,other ,health ,No ,No ,500000,3,4.29,4.4
M,22,U,GT3,T ,2,2,services ,health ,Yes ,No ,800000,1,4.7,4.38
M,21,U,GT3,T ,2,3,at_home ,services ,No ,Yes ,200000,1,4.45,4.11
F,22,R,GT3,T ,2,2,at_home ,other ,Yes ,No ,200000,3,4.99,4.79
M,23,R,LE3,T ,3,2,health ,other ,Yes ,No ,850000,3,3.96,4.46
F,20,R,GT3,T ,4,4,health ,teacher ,Yes ,Yes ,700000,1,4.78,4.09
F,23,R,LE3,T ,2,2,at_home ,other ,Yes ,Yes ,850000,1,4.74,4.85
F,24,R,GT3,T ,3,2,services ,other ,No ,Yes ,400000,1,4.61,4.6
M,23,R,GT3,T ,2,2,at_home ,other ,No ,No ,300000,1,4.66,4.55
M,22,U,LE3,T ,4,4,at_home ,services ,Yes ,Yes ,50000,1,3.94,3.96
F,22,R,GT3,T ,4,4,teacher ,health ,Yes ,Yes ,500000,3,4.17,4.51
M,21,R,GT3,T ,2,2,at_home ,teacher ,Yes ,No ,250000,2,3.95,4
M,20,U,LE3,T ,2,2,other ,health ,Yes ,Yes ,400000,1,4.14,4.08
M,21,U,GT3,T ,2,4,services ,health ,Yes ,No ,400000,5,4.67,4.51
F,22,R,GT3,T ,4,2,at_home ,teacher ,Yes ,No ,850000,1,4.31,4.79
F,20,R,LE3,T ,4,4,teacher ,teacher ,No ,No ,500000,1,4.41,4.22
F,24,R,LE3,T ,3,4,other ,services ,Yes ,Yes ,550000,1,4.39,4.26
F,24,U,LE3,T ,4,4,at_home ,other ,No ,Yes ,100000,2,4.44,4.52
M,20,U,GT3,T ,4,3,health ,health ,Yes ,Yes ,400000,1,4.42,4.07
M,21,U,GT3,T ,4,3,other ,teacher ,No ,Yes ,500000,1,4.34,4.15
F,21,U,GT3,T ,4,3,at_home ,other ,No ,Yes ,200000,1,4.36,4.03
F,24,R,GT3,T ,3,4,services ,teacher ,No ,Yes ,50000,1,4.86,4.42
F,20,U,LE3,T ,3,2,at_home ,teacher ,Yes ,Yes ,800000,1,4.82,4.08
F,22,R,GT3,T ,2,4,at_home ,services ,Yes ,No ,100000,1,4.21,4.71
F,24,R,LE3,T ,4,2,other ,other ,No ,No ,800000,1,4.57,4
F,22,U,GT3,T ,4,4,services ,health ,Yes ,No ,800000,3,4.26,4.39
M,24,R,GT3,T ,4,2,at_home ,health ,Yes ,No ,450000,1,4.82,4.12
